name,manual_cpu
21mfs2mQ00 Nbw P14s G5 Amd R7 Pro 16gb 5600mhz Sodımm 512gb Ssd Dos 5 Yıl Yerinde Garanti,Amd R7
"Katana 15 Hx I9 14900HX 64GB 1tb FDOS RTX5060 8gb 115W 15.6"" 2k QHD B14WFK450XTRF38 + Zetta Çanta",I9 14900HX
"Pro 16 Plus Ultra 7 265U 16GB 1TB UHD Graphics 16"" Win10 Pro + S.Çantası PB16250U7265U165UHMF13",Ultra 7 265U
Expertbook P1 P1503 I7 13620H 64GB Ddr5 256GB SSD WIN11PRO 15.6 Fhd EXP1503CVAI58512S0W31 +ZETTACNT,I7 13620H
"Tuf Gaming F16 FX608JHR RV047W/Intel® Core™ i7 14650HX/16 GB RAM/512 GB SSD/RTX 5050/16""/W11 La",i7 14650HX
"Victus 16 S1010NT 9Z790EA FR47 8GB RTX4060 Ryzen 7 8845HS 48 GB 4 TB 16,1"" FHD 144Hz W11P",Ryzen 7 8845HS
"Latitude 3540 Intel Core i5 1235U 12GB 4TB SSD 15.6"" FHD W11H & PER4 Çanta",Intel Core i5 1235U
"EliteBook 640 G11 Ultra 7 155U 40GB 1 TBSSD 14"" WUXGA Win11 Home + Sırt Ç. B2RK9ESHMF35",Ultra 7 155U
Nitro V15 i5 13420H 48GB 1TB SSD RTX4050/6GB 15.6'' FHD 144Hz FDOS & PER4 ÇANTA,i5 13420H
"Vivobook 15, Core 7 150U, 24GB RAM, 1TB SSD, 15.6"" Windows 11 + Office 24 Dizüstü Bilgisayar",Core 7 150U
Predator Helıos Neo 16 Ultra 9 275HX 64GB 4tb 12GB/RTX5070Tİ/170W 16inç FDOS NHQX2EY002F20+ZettaÇNT,Ultra 9 275HX
"Probook 4 G1I Ultra 7 255U Aı 80GB 1tbSSD 16"" (1920 x 1200), ,300 Nits WIN11PRO C9FY2ETP23+ZETTAÇNT",Ultra 7 255U
Victus 15 i7 13620H 20GB 1TB SSD RTX4060/8GB 144Hz 15.6'' FHD FDOS Gaming Laptop & PER4 ÇANTA,i7 13620H
"CYBORG 17 i7 13620H 64GB 1TB RTX5060 (8GB) 17.3"" FHD Win 11 Home + S.Çantası B13WFKG 092XTRHMF26",i7 13620H
Pro 15 Essential i5 1334U 32GB 256GB SSD 15.6'' FHD FDOS Taşınabilir Bilgisayar & Per4 ÇANTA,i5 1334U
Latitude 3450 İ7 1355u 48gb Ddr5 4tb Ssd 14'' Ips W11p Taşınabilir Bilgisayar & Per4 Çanta,İ7 1355u
"IdeaPad Slim 5 Ryzen AI 7 350 16GB DDR5 256GB SSD 16"" WUXGA W11P Dizüstü Bilgisayar & Çanta",Ryzen AI 7 350
"Victus 16 S1010NT 9Z790EA C19 8GB RTX4060 Ryzen 7 8845HS 16 GB 2 TB 16,1"" FHD 144Hz W11H + Çanta",Ryzen 7 8845HS
"Excalibur G870 i7 13620H 32 GB 2TB RTX5060 165HZ 15.6"" W11H Gaming Laptop G870.1362 DX60A C",i7 13620H
Victus 16 i7 13700H 24GB DDR5 1TB SSD RTX4070/8GB 144Hz 16.1'' W11H Gaming Laptop & PER4 ÇANTA,i7 13700H
Katana 17 HX i7 14650HX 32GB 4TB SSD RTX5060/8GB 17.3'' 2K QHD 240Hz W11H Gaming Laptop B14WFK,i7 14650HX
Thinkpad E16 Gen3 Ultra 7 255H 48GB Ddr5 1tb SSD W11HOME 16 Inç IPS 21SR006RTXH23 + Zetta Çanta,Ultra 7 255H
"Latitude 5450 Ultra 7 155U 40 GB 1 TBSSD 14"" FHD Win 11 Pro + S.Çantası N012L545014UHMF20",Ultra 7 155U
Nitro V16 i5 14450HX 48GB 4TB SSD RTX4050/6GB 85W 16'' WUXGA 165Hz FDOS Gaming Laptop & ÇANTA,i5 14450HX
Predator Helıos Neo 16 Ultra 9 275HX 32GB 4tb 12GB/RTX5070Tİ/170W 16inç FDOS NHQX2EY002F10+ZettaÇNT,Ultra 9 275HX
"Crosshaır A17 Hx Ryzen9 8940HX 64GB 512GB SSD 8GB/RTX5070 115W 17""2.5k 240Hz Freedos Z012XTRF25",Ryzen9 8940HX
"Loq 15IRX10 I7 13700HX 80GB 256GBSSD 15.6"" 8GB/RTX5050 144Hz WIN11PRO 83JE00KMTRP21+ZETTAÇANTA",I7 13700HX
"Crosshaır 18 Ultra 9 275HX 64GB 4tb Ssd+4tb SSD 8GB/RTX5070 18""2.5k 240Hz WIN11HOME W032XTRH32",Ultra 9 275HX
Latitude 3540 i5 1235U 8GB RAM 4TB SSD 15.6'' FHD W11HOME Dizüstü Bilgisayar & PER4 ÇANTA,i5 1235U
"Latitude 3540 Intel Core i5 1235U 48GB 512GB SSD 15.6"" FHD W11H & PER4 Çanta",Intel Core i5 1235U
"Zbook x G1I Ultra 7 255H 64GB Ddr5 512GB SSD 8GB/RTXPRO1000 16"" 400NIT W11PRO B30HLESP21+Zettaçanta",Ultra 7 255H
Victus 15 i7 13620H 48GB 1TB SSD RTX5060/8GB 15.6'' FHD 144Hz W11H Gaming Laptop & Per4 ÇANTA,i7 13620H
"ExpertBook B5 Ultra 7 255H 24GB 512GB SSD 14"" FHD+ W11H Dizüstü Bilgisayar & PER4 Çanta",Ultra 7 255H
"Nitro 18 Ryzen 9 365 40GB 512GB+512GBSSD 12GB/RTX5070TI 18"" Qhd W11PRO NHQYFEY001P36+ZettaÇNT",Ryzen 9
"Crosshair 16 HX AI Ultra 9 275HX 40GB 512GB SSD RTX5070/8GB 115W 16"" 2K QHD+ 240Hz W11P Gaming",Ultra 9 275HX
"Excalibur G880 i7 13620H 16GB 480GB RTX5060 8GB 165Hz 15.6"" W11H Gaming Laptop G880.1362 BV60A C",i7 13620H
Nitro V15 i5 13420H 16GB 512GB SSD RTX4050/6GB 15.6'' FHD 144Hz FDOS & PER4 ÇANTA,i5 13420H
Omen 16 AP0012NT Ryzen 9 365 96GB 1tb SSD RTX5070 8gb 16Inç W11PRO C12CGEAP44+Zetta Çanta,Ryzen 9
"Cyborg 15 7 240H 16GB Ddr5 512GB SSD RTX5060 8gb W11Home 15.6"" 144HZ B2RWFKG208XTRH02 + Zetta Çanta",r5
Katana 17 HX i9 14900HX 48GB 256GB SSD RTX5060/8GB 17.3'' 2K QHD 240Hz FDOS Gaming Laptop B14WFK,i9 14900HX
"ThinkBook 16 G7 Ultra 7 155H 64GB 4TB SSD 16"" WUXGA FDOS Dizüstü Bilgisayar & PER4 ÇANTA",Ultra 7 155H
Pro 16 Plus Ultra 7 255U 16GB Ddr5 2tb SSD FDOS 16 Inç IPS Fullhd+ PB16250BTO105F04 + Zetta Çanta,Ultra 7 255U
"Vivobook 15 M1502YA BQ579A010 Ryzen7 5825U 16GB 1TBSSD 15.6"" FHD W11P Dizüstü Bilgisayar",Ryzen7 5825U
"Probook 445 G11 Ryzen 5 7535U 64GB 2tb SSD 14"" Wuxga IPS W11HOME 9Y7C9ETH23 + Zettaçanta",Ryzen 5 7535U
Katana 17 HX i9 14900HX 32GB 1TB SSD RTX5060/8GB 17.3'' 2K QHD 240Hz W11H Gaming Laptop B14WFK,i9 14900HX
"Pro 14 5 120U 32GB Ddr5 512GB SSD Graphics 14"" Fhd+ IPS W11PRO PC14250C516520H09 + Zettaçanta",r5
"Excalibur G870 Core i7 13620H 24GB 2TB 8GB RTX5070 15.6"" Freedos Gaming Laptop G870.1362 CX70X C",Core i7 13620H
"Predator Helıos 16 Ultra 9 275HX 32GB 2tb 12GB/RTX5070Tİ/170W 16"" WIN11HOME NHQX2EY002H09+ZettaÇNT",Ultra 9 275HX
"Victus 15 FA2038NT i7 13620H 40GB 4 TB RTX5060 15.6"" FHD Freedos +S. Çantası C39D5EAHMF15",i7 13620H
"Tuf A15 Ryzen 7 7435HS 48GB 2 TBSSD RTX4050 144 Hz Win 11 Home 15.6"" FHD FA507NUR LP035HMF50",Ryzen 7
Nitro V15 ANV15 13.nesil Core I7 13620H 64GB 512GBSSD 8GB/RTX5060 FDOS NHQZAEY001H22+ZETTAÇANTA,Core I7 13620H
"Cyborg 15 i5 13420H 48GB 1 TBSSD RTX4050 (6GB 45W) 15.6"" FHD Freedos A13VE 1478XTRHMF5",i5 13420H
Nitro V15 i5 13420H 96GB 1TB SSD RTX4050/6GB 15.6'' FHD 144Hz FDOS & PER4 ÇANTA,i5 13420H
