name,manual_gpu
21mfs2mQ00 Nbw P14s G5 Amd R7 Pro 16gb 5600mhz Sodımm 512gb Ssd Dos 5 Yıl Yerinde Garanti,None
"Katana 15 Hx I9 14900HX 64GB 1tb FDOS RTX5060 8gb 115W 15.6"" 2k QHD B14WFK450XTRF38 + Zetta Çanta",rtx 5060
"Pro 16 Plus Ultra 7-265U 16GB 1TB UHD Graphics 16"" Win10 Pro + S.Çantası PB16250U7265U165UHMF13",intel uhd graphics
Expertbook P1 P1503 I7-13620H 64GB Ddr5 256GB SSD WIN11PRO 15.6 Fhd EXP1503CVAI58512S0W31 +ZETTACNT,None
"Tuf Gaming F16 FX608JHR-RV047W/Intel® Core™ i7-14650HX/16 GB RAM/512 GB SSD/RTX 5050/16""/W11 La",rtx 5050
"Victus 16-S1010NT 9Z790EA FR47 8GB RTX4060 Ryzen 7 8845HS 48 GB 4 TB 16,1"" FHD 144Hz W11P",rtx 4060
"Latitude 3540 Intel Core i5 1235U 12GB 4TB SSD 15.6"" FHD W11H & PER4 Çanta",None
"EliteBook 640 G11 Ultra 7-155U 40GB 1 TBSSD 14"" WUXGA Win11 Home + Sırt Ç. B2RK9ESHMF35",None
Nitro V15 i5-13420H 48GB 1TB SSD RTX4050/6GB 15.6'' FHD 144Hz FDOS & PER4 ÇANTA,rtx 4050
"Vivobook 15, Core 7-150U, 24GB RAM, 1TB SSD, 15.6"" Windows 11 + Office 24 Dizüstü Bilgisayar",None
Predator Helıos Neo 16 Ultra 9 275HX 64GB 4tb 12GB/RTX5070Tİ/170W 16inç FDOS NHQX2EY002F20+ZettaÇNT,rtx 5070ti
"Probook 4 G1I Ultra 7 255U Aı 80GB 1tbSSD 16"" (1920 x 1200), ,300 Nits WIN11PRO C9FY2ETP23+ZETTAÇNT",None
Victus 15 i7-13620H 20GB 1TB SSD RTX4060/8GB 144Hz 15.6'' FHD FDOS Gaming Laptop & PER4 ÇANTA,rtx 4060
"CYBORG 17 i7-13620H 64GB 1TB RTX5060 (8GB) 17.3"" FHD Win 11 Home + S.Çantası B13WFKG-092XTRHMF26",rtx 5060
Pro 15 Essential i5-1334U 32GB 256GB SSD 15.6'' FHD FDOS Taşınabilir Bilgisayar & Per4 ÇANTA,None
Latitude 3450 İ7 1355u 48gb Ddr5 4tb Ssd 14'' Ips W11p Taşınabilir Bilgisayar & Per4 Çanta,None
"IdeaPad Slim 5 Ryzen AI 7 350 16GB DDR5 256GB SSD 16"" WUXGA W11P Dizüstü Bilgisayar & Çanta",None
"Victus 16-S1010NT 9Z790EA C19 8GB RTX4060 Ryzen 7 8845HS 16 GB 2 TB 16,1"" FHD 144Hz W11H + Çanta",rtx 4060
"Excalibur G870 i7-13620H 32 GB 2TB RTX5060 165HZ 15.6"" W11H Gaming Laptop G870.1362-DX60A-C",rtx 5060
Victus 16 i7 13700H 24GB DDR5 1TB SSD RTX4070/8GB 144Hz 16.1'' W11H Gaming Laptop & PER4 ÇANTA,rtx 4070
Katana 17 HX i7-14650HX 32GB 4TB SSD RTX5060/8GB 17.3'' 2K QHD 240Hz W11H Gaming Laptop B14WFK,rtx 5060
Thinkpad E16 Gen3 Ultra 7 255H 48GB Ddr5 1tb SSD W11HOME 16 Inç IPS 21SR006RTXH23 + Zetta Çanta,None
"Latitude 5450 Ultra 7-155U 40 GB 1 TBSSD 14"" FHD Win 11 Pro + S.Çantası N012L545014UHMF20",None
Nitro V16 i5-14450HX 48GB 4TB SSD RTX4050/6GB 85W 16'' WUXGA 165Hz FDOS Gaming Laptop & ÇANTA,rtx 4050
Predator Helıos Neo 16 Ultra 9 275HX 32GB 4tb 12GB/RTX5070Tİ/170W 16inç FDOS NHQX2EY002F10+ZettaÇNT,rtx 5070ti
"Crosshaır A17 Hx Ryzen9 8940HX 64GB 512GB SSD 8GB/RTX5070 115W 17""2.5k 240Hz Freedos Z012XTRF25",rtx 5070
"Loq 15IRX10 I7-13700HX 80GB 256GBSSD 15.6"" 8GB/RTX5050 144Hz WIN11PRO 83JE00KMTRP21+ZETTAÇANTA",rtx 5050
"Crosshaır 18 Ultra 9-275HX 64GB 4tb Ssd+4tb SSD 8GB/RTX5070 18""2.5k 240Hz WIN11HOME W032XTRH32",rtx 5070
Latitude 3540 i5-1235U 8GB RAM 4TB SSD 15.6'' FHD W11HOME Dizüstü Bilgisayar & PER4 ÇANTA,None
"Latitude 3540 Intel Core i5 1235U 48GB 512GB SSD 15.6"" FHD W11H & PER4 Çanta",None
"Zbook x G1I Ultra 7 255H 64GB Ddr5 512GB SSD 8GB/RTXPRO1000 16"" 400NIT W11PRO B30HLESP21+Zettaçanta",rtx pro 1000
Victus 15 i7-13620H 48GB 1TB SSD RTX5060/8GB 15.6'' FHD 144Hz W11H Gaming Laptop & Per4 ÇANTA,rtx 5060
"ExpertBook B5 Ultra 7 255H 24GB 512GB SSD 14"" FHD+ W11H Dizüstü Bilgisayar & PER4 Çanta",None
"Nitro 18 Ryzen 9 365 40GB 512GB+512GBSSD 12GB/RTX5070TI 18"" Qhd W11PRO NHQYFEY001P36+ZettaÇNT",rtx 5070ti
"Crosshair 16 HX AI Ultra 9 275HX 40GB 512GB SSD RTX5070/8GB 115W 16"" 2K QHD+ 240Hz W11P Gaming",rtx 5070
"Excalibur G880 i7-13620H 16GB 480GB RTX5060 8GB 165Hz 15.6"" W11H Gaming Laptop G880.1362-BV60A-C",rtx 5060
Nitro V15 i5-13420H 16GB 512GB SSD RTX4050/6GB 15.6'' FHD 144Hz FDOS & PER4 ÇANTA,rtx 4050
Omen 16-AP0012NT Ryzen 9 365 96GB 1tb SSD RTX5070 8gb 16Inç W11PRO C12CGEAP44+Zetta Çanta,rtx 5070
"Cyborg 15 7 240H 16GB Ddr5 512GB SSD RTX5060 8gb W11Home 15.6"" 144HZ B2RWFKG208XTRH02 + Zetta Çanta",rtx 5060
Katana 17 HX i9-14900HX 48GB 256GB SSD RTX5060/8GB 17.3'' 2K QHD 240Hz FDOS Gaming Laptop B14WFK,rtx 5060
"ThinkBook 16 G7 Ultra 7 155H 64GB 4TB SSD 16"" WUXGA FDOS Dizüstü Bilgisayar & PER4 ÇANTA",None
Pro 16 Plus Ultra 7 255U 16GB Ddr5 2tb SSD FDOS 16 Inç IPS Fullhd+ PB16250BTO105F04 + Zetta Çanta,None
"Vivobook 15 M1502YA-BQ579A010 Ryzen7 5825U 16GB 1TBSSD 15.6"" FHD W11P Dizüstü Bilgisayar",None
"Probook 445 G11 Ryzen 5 7535U 64GB 2tb SSD 14"" Wuxga IPS W11HOME 9Y7C9ETH23 + Zettaçanta",None
Katana 17 HX i9-14900HX 32GB 1TB SSD RTX5060/8GB 17.3'' 2K QHD 240Hz W11H Gaming Laptop B14WFK,rtx 5060
"Pro 14 5 120U 32GB Ddr5 512GB SSD Graphics 14"" Fhd+ IPS W11PRO PC14250C516520H09 + Zettaçanta",None
"Excalibur G870 Core i7-13620H 24GB 2TB 8GB RTX5070 15.6"" Freedos Gaming Laptop G870.1362-CX70X-C",rtx 5070
"Predator Helıos 16 Ultra 9 275HX 32GB 2tb 12GB/RTX5070Tİ/170W 16"" WIN11HOME NHQX2EY002H09+ZettaÇNT",rtx 5070ti
"Victus 15-FA2038NT i7-13620H 40GB 4 TB RTX5060 15.6"" FHD Freedos +S. Çantası C39D5EAHMF15",rtx 5060
"Tuf A15 Ryzen 7-7435HS 48GB 2 TBSSD RTX4050 144 Hz Win 11 Home 15.6"" FHD FA507NUR-LP035HMF50",rtx 4050
Nitro V15 ANV15 13.nesil Core I7 13620H 64GB 512GBSSD 8GB/RTX5060 FDOS NHQZAEY001H22+ZETTAÇANTA,rtx 5060
"Cyborg 15 i5-13420H 48GB 1 TBSSD RTX4050 (6GB-45W) 15.6"" FHD Freedos A13VE-1478XTRHMF5",rtx 4050
Nitro V15 i5-13420H 96GB 1TB SSD RTX4050/6GB 15.6'' FHD 144Hz FDOS & PER4 ÇANTA,rtx 4050
"Cyborg 15 i5-13420H 48GB 4 TBSSD RTX4050 (6GB-45W) 15.6"" FHD Win11 Home A13VE-1478XTRHMMf65",rtx 4050
"E16 G3 U7-255H 48 GB 2 TBSSD Intel Arc Graphics 16"" Freedos +S. Çantası 21SR006RTXHMF9",intel arc graphics
"Predator Helios Neo18 Ultra9 275HX 64GB 256GB SSD RTX5070Ti/12GB 18"" QHD+ FDOS Gaming Laptop",rtx 5070ti
"Omen 16 Core 7 240H 16GB 512GB SSD RTX5060/8GB 16"" FHD+ 165Hz W11H Gaming Laptop & Per4 Çanta",rtx 5060
"Macbook Air M2 Çip 16 Gb 256 Gb Ssd 13.6"" Yıldız Işığı Notebook Z15y00102",m2
"KATANA 17 HX i7-14650HX 48GB 2 TBSSD RTX5070 17.3"" 2K Freedos + Sırt Ç. B14WGK-046XTRHMF9",rtx 5070
Pro 16 PC16250 Core 7 150U 16GB 512GB SSD 16 FHD+ Ubuntu PC16250-C7165UBU,None
"Predator Helios Neo16 Ultra9 275HX 48GB 4TB SSD RTX5070Ti/12GB 16"" QHD+ FDOS Gaming Laptop",rtx 5070ti
"Precision M7780 XCTOP7780EMEA_VP1A7 i7-13850HX 64GB 2TBSSD RTX3500 17.3"" FullHD W11P Taşınabili",rtx 3500
"Excalibur G870 Intel 5-210H 64GB 4TB RTX5060 165HZ 15.6"" W11H Gaming Laptop G870.210H-EN60A-C",rtx 5060
"TUF F16 i7-14650HX 48GB 2 TBSSD RTX5070 (8GB) 16"" 2.5K Win11 Home + Sırt Ç. FX608JPR-QT002HMF40",rtx 5070
"Vostro 3530 Intel Core i5 1334U 36GB 2TB SSD 15.6"" FHD W11P & PER4 Çanta",None
"Thinkpad E16 Gen3 Ryzen 5 220 32GB 4tb SSD 16"" Wuxga IPS W11PRO 21ST0058TXP12 + Zettaçanta",None
"Katana 15 i7 14650HX 128GB 1TB SSD RTX5060/8GB 115W 15.6"" QHD 165Hz W11H Gaming Laptop B14WFK",rtx 5060
"Omen 16-WF1020NT 9J1Y9EA03 i7-14700HX 32GB 1TBSSD+2TBSSD RTX4070 16.1"" FHD FreeDOS Dizüstü Bilgis",rtx 4070
"Predator Helios Neo 16 AI Ultra 9 275HX 128GB 2TB SSD RTX5070Ti/12GB 170W 16"" QHD+ W11P",rtx 5070ti
"KATANA 17 i7-14650HX 32GB 2 TBSSD RTX5060 (8GB) 17.3"" Win10 Pro + Sırt Ç. B14WFK-215XTRHMF52",rtx 5060
"Vostro 3530 i7-1355U 8GB 1TB SSD 15.6"" 120 Hz FHD Win11P N1601PVNB3530U ATL85 Notebook +Çanta",None
"Inspiron 3520 i7 1255U 24GB 2TB M.2 SSD I35201013U ATL73 O/B 15.6"" Fdos Taşınabilir Bilgisayar+",None
Pro 16 PC16250 Ultra 5 235U 32GB 1TB SSD 16 FHD+ FreeDOS BTO106-PC16250-UBU,None
ROG Strix G16 R9 9955HX 64GB 4TB SSD RTX5070Ti/12GB 140W 240HZ 16'' 2.5K FDOS Gaming & PER4,rtx 5070ti
Crosshaır 16 U9-275HX 64GB 1tb Ssd+1tbssd 8GB/RTX5070 115W 16″ 16:10 QHD+ 240Hz IPS FDOS W047XTRF28,rtx 5070
Victus 15 Intel Core 7 240H 48GB 512GB SSD RTX5060/8GB 15.6'' 144Hz FHD W11P Gaming Laptop,rtx 5060
"Predator Helios Neo 16 AI Ultra 9 275HX 128GB 4TB SSD RTX5070Ti/12GB 170W 16"" QHD+ W11P",rtx 5070ti
"Alienware 16X Aurora Ultra 7 255HX 40GB 4TB SSD RTX5060/8GB 16"" QHD+ W11P Gaming Laptop",rtx 5060
Katana 17 HX i9-14900HX 32GB 256GB SSD RTX5060/8GB 17.3'' 2K QHD 240Hz W11H Gaming Laptop B14WFK,rtx 5060
Vivobook 15 X1504VA-NJ195W01 Intel Core I7 1355U 8gb Ram 512gb Ssd 15.6'' FHD Windows11,None
"Victus I7-13620H 32GB 2tbSSD Rtx 5060/8GB 15.6"" , 144 Hz, ,300 Nits WIN11HOME C21SFEAH09+ZETTAÇNT",rtx 5060
"Omen 16 Ryzen AI 7 350 8GB 4TB+4TB SSD RTX5070/8GB 16"" FHD+ 144Hz W11H Gaming Laptop & Çanta",rtx 5070
"ThinkBook 16 21MS005KTR002 Ultra5 125U 16GB 512SSD+1TBSSD 16"" WUXGA FreeDOS Dizüstü Bilgisaya",None
Victus 15 Intel Core 7 240H 64GB 4+4TB SSD RTX5060/8GB 15.6'' 144Hz FHD FDOS Gaming Laptop,rtx 5060
"Cyborg 15 A13VF3 i7-13620H 24GB 4TB SSD RTX4060/8GB 15.6"" FHD 144HZ FDOS & PER4 ÇANTA",rtx 4060
Omen 16-AM0037NT Ultra 5 225H 40GB 8tb SSD RTX5060 8gb W11HOME 16Inç 144Hz C39JBEAH24+Zetta Çanta,rtx 5060
"Thinkbook 14 G7 Ultra 5 125U 40GB 2tb SSD 14"" Wuxga IPS 300NITS WIN11HOME 21MR0095TRH15+ZETTAÇANTA",None
"Alienware 16AC16250 7 240H 96GB 512GBSSD W11PRO 8gb RTX5060 16"" 2K AC16250C71615U56NP51+Zetta Çanta",rtx 5060
"Cyborg 15 i5 13420H 16GB 1TB SSD RTX5060/8GB 15.6"" FHD 144Hz W11H Gaming Laptop B13WFKG",rtx 5060
"Precision 3591 Ultra 7 155H 16GB 1TB SSD RTX A500/4GB 15.6"" FHD FDOS Workstation & Per4 Çanta",rtx a500
Katana 17 HX i7-14650HX 24GB 1TB SSD RTX5070/8GB 17.3'' 2K QHD 240Hz W11P Gaming Laptop B14WGK,rtx 5070
"Vector 18 HX AI Ultra 9 275HX 40GB 2TB SSD RTX5070Ti/12GB 140W 18"" QHD+ 240Hz W11H Gaming",rtx 5070ti
"Latitude 3540 Intel Core i5 1235U 12GB 1TB SSD 15.6"" FHD W11P & PER4 Çanta",None
"Thinkbook 14 G8 Ial Ultra 7 255H 40GB Ddr5 4tb SSD 14"" Wuxga IPS FDOS 21SJ007BTXF16 + Zettaçanta",None
"ThinkBook 16 G8 Core 7 240H 16GB 1TB SSD 16"" FHD+ FDOS Taşınabilir Bilgisayar & PER4 Çanta",None
"CYBORG 17 i7-13620H 32GB 2TB RTX5060 (8GB) 17.3"" FHD Win 10 Pro + S.Çantası B13WFKG-092XTRHMF41",rtx 5060
"Vivobook 15 X1504ZA-BQ325W03 i7-1255U 16GB 1TBSSD 15.6"" FullHD W11H Taşınabilir Bilgisayar",None
"Pro 16 XCTOPRO16-U008 Core5-120U 16GB 512SSD 16"" WUXGA W11P Dizüstü Bilgisayar",None
"Predator Helios Neo16 Ultra9 275HX 80GB 1TB SSD RTX5060/8GB 16"" QHD+ W11P Gaming Laptop",rtx 5060
"Predator Helios Neo18 Ultra9 275HX 40GB 4TB SSD RTX5070Ti/12GB 18"" QHD+ FDOS Gaming Laptop",rtx 5070ti
Inspiron 3520 i7 1255U 40GB RAM 4TB SSD 15.6'' FHD W11HOME I35201013U & PER4 ÇANTA,None
"Omen16 Ryzen AI 9-365 40GB 256GB SSD RTX5070/8GB 115W 16"" QHD+ 240Hz W11H Gaming Laptop &Çanta",rtx 5070
"Probook 440 G10 I7 1355U 32GB 2tb SSD Iris® Xe W11Home 14"" IPS 968L9ETH19 + Zetta Çanta",intel iris xe
Extensa 15 EX215-55 i7-1255U 24GB RAM 1TB SSD 15.6'' FHD W11P Dizüstü Bilgisayar & PER4 ÇANTA,None
"ThinkBook 14 G6 i7-13700H 16-GBDDR5 2 TBSSD 14"" WUXGA Freedos 21KG004NTRHMF7",None
"Cyborg 15 i7-13620H 32GB 2 TBSSD RTX4050 15.6"" FHD 144Hz Win10 Pro + Sırt Ç. A13VE-897XTRHMF62",rtx 4050
"TUF Gaming A15 R5 7535HS 8GB 512GB SSD RTX3050/4GB 144Hz 15.6"" FHD FDOS HN006 & PER4 ÇANTA",rtx 3050
NB CROSSHAIR A17 HX D8WGKG-012XTR R9 8940HX 32GB DDR5 RTX5070 GDDR7 8GB 1TB SSD 17.0 QHD+ 240Hz,rtx 5070
ThinkBook 16 G6 i5 1335U 40GB DDR5 256GB SSD 16'' FHD+ FDOS Dizüstü Bilgisayar & PER4 ÇANTA,None
"Crosshair 17 HX AI Ultra 9 275HX 24GB 512GB SSD RTX5070/8GB 115W 17"" 2K QHD+ 240Hz W11H Gaming",rtx 5070
Vector 16 HX AI Ultra 7 255HX 24GB 2TB SSD RTX5070TI/12GB 140W 16'' WUXGA W11P Gaming Laptop,rtx 5070ti
Omen W16-AM0017NT 7 240H 40GB 1tb SSD W11HOME RTX5060 8gb 16 Inc IPS 165HZ WBQ1Z0EAH24+Zetta Çanta,rtx 5060
"Pro 16 XCTOPRO16-U003 Core5-120U 32GB 512SSD 16"" WUXGA FreeDOS Dizüstü Bilgisayar",None
"Thinkbook 16 G8 7 240H 32GB Ddr5 2tb SSD 16"" Wuxga IPS 60Hz W11HOME 21SH009GTXH11 + Zettaçanta",None
Expertbook P1 P1503 I7-13620H 40GB Ddr5 512GB SSD Freedos 15.6 Fhd WP1503CVAI716512G0D22 +ZETTACNT,None
"Victus 16-R0071NT 8V898EA FR18 i7-13700H 40 GB 1 TB 8 GB RTX4070 16.1"" FHD DOS",rtx 4070
"Vector 16 Hx Ultra 7 255HX 16GB 4tb SSD 12GB/RTX5070TI/140W WIN11HOME 16"" Fhd+ 144Hz 091XTRH04",rtx 5070ti
"Cyborg 15 i5 13420H 40GB 1TB SSD RTX5060/8GB 15.6"" FHD 144Hz W11H Gaming Laptop B13WFKG",rtx 5060
"Pro 16 Xcto Ultra 5 120U 80GB 4tb SSD 16"" Fhd+ 300NIT WIN11HOME XCTOPRO16UI5H24+ZETTAÇANTA",None
"Cyborg 15 i7 13620H 8GB 2TB SSD RTX5060/8GB 15.6"" FHD 144Hz FDOS Gaming Laptop B13WFKG",rtx 5060
"Thinkpad E16 G2 Ultra 5 125U 16GB 512GB SSD Intel® Aı Boost 16"" Wuxga IPS WIN 11 Home 21MA003MTXH01",None
Pro 14 Ultra 5 235U 32GB Ddr5 1tb SSD W11PRO 14 Inç IPS Fullhd+ PC14250BTO113P13 + Zetta Çanta,None
"Katana 15 HX B14WGK-068XTR005 i7-14650HX 64GB 2TBSSD RTX5070 15.6"" QHD FreeDOS Dizüstü Bilgisaya",rtx 5070
"Slim 3 Intel Core I7 13620H 8GB 1TB SSD W11/16"" Fhd Taşınabilir Bilgisayar +Lenovo Set",None
"Nitro 5 ANV15-41-R7CH012 Ryzen7 7735HS 64GB 1TBSSD+1TBSSD RTX4060 15.6"" FHD FreeDOS Dizüstü Bil",rtx 4060
"Rog Strix Scar 18 U9 275HX 24GB 512GB SSD 16GB/RTX5080 18"" 2.5K 3Ms 1200Nits FDOS WSA129F01+ZETTACNT",rtx 5080
"Omen 17 Ryzen AI 7 350 24GB 4TB SSD RTX5060/8GB 17.3"" FHD 144Hz FDOS Gaming Laptop & Çanta",rtx 5060
"KATANA 17 i7-14650HX 32GB 4 TBSSD RTX5060 (8GB) 17.3"" Win11 Pro + Sırt Ç. B14WFK-215XTRHMF27",rtx 5060
